d_median,d_lo,d_hi,n,density,density_lo,density_hi,density_blo,density_bhi,lacunarity_mean,lacunarity_mean_lo,lacunarity_mean_hi,lacunarity_mean_blo,lacunarity_mean_bhi,lacunarity_slope,lacunarity_slope_lo,lacunarity_slope_hi,lacunarity_slope_blo,lacunarity_slope_bhi,r_crit,r_crit_lo,r_crit_hi,r_crit_blo,r_crit_bhi,mfa_alpha_width,mfa_alpha_width_lo,mfa_alpha_width_hi,mfa_alpha_width_blo,mfa_alpha_width_bhi,W_trans,W_trans_lo,W_trans_hi,W_trans_blo,W_trans_bhi,gamma,gamma_lo,gamma_hi,gamma_blo,gamma_bhi,Delta_D,Delta_D_lo,Delta_D_hi,Delta_D_blo,Delta_D_bhi,S_alpha,S_alpha_lo,S_alpha_hi,S_alpha_blo,S_alpha_bhi
0.0006685,1.025e-05,0.00131875,800,6.453931666012311,6.356181322942621,6.561647661244709,6.317605209468023,6.561378186260338,4.553742192001319,4.370982485663782,4.716257543543827,4.22178189059016,4.83499188383893,5.671200646197184,5.577365936160601,5.785629148062899,5.533866432761833,5.824445985344179,6.468504655618516,6.268425573649939,6.613790917562243,6.339471492476811,6.581865026141031,6.209898504907961,6.01379950384508,6.428062696090407,5.919347080815519,6.437436697219983,6.730397600125938,6.551315395355723,6.86073528070186,6.555432854974916,6.854683430979937,6.394653058122504,6.144143280079919,6.5817605051065255,6.148700077921267,6.690220589520517,6.504365829777892,6.300336532208384,6.653071496941129,6.269034183905728,6.62726251952075,6.209010703434684,6.044242502359585,6.406268715030116,5.989892976832058,6.441461872596293
0.001085625,0.0003755,0.001679,800,6.153774423484603,6.08149287436555,6.224534664476055,6.046513923059408,6.287066551715585,5.564285195523062,5.464310056735191,5.657548193584212,5.473634895753615,5.6671000117594215,5.963694142590606,5.852416277690562,6.045727644469492,5.8835908992994455,6.030051475941245,6.054949723629051,5.889136217237185,6.166234917242848,5.960703115812046,6.160803071746354,6.162367388093844,6.052363892334861,6.3042821508591835,6.048548707161427,6.260742072825746,6.381279414802645,6.27478063022227,6.48837067770231,6.162039355161266,6.510732286654423,6.353629825177724,6.243239205000156,6.454591876389822,6.203800665544238,6.498533268240001,6.292949614216055,6.15935618128956,6.4407275018904375,6.179016126358112,6.400561014255061,5.845760313039118,5.677248850438621,6.036153122503891,5.731070352460426,6.025222666465652
0.0014765,0.00084525,0.00207775,800,6.376097824364156,6.2958767565722935,6.4505091209764265,6.255014802712171,6.443339850699822,5.947437021534299,5.80066570709775,6.090602314670806,5.806309426970087,6.086827063390791,6.076005207379747,5.996427320275867,6.1572709194135,5.99340547553932,6.140541586861864,5.974750434404222,5.834456846051884,6.099603321476003,5.865772621762248,6.109112769637846,6.110202114299359,6.001149994897206,6.22593200320096,5.994043168266218,6.226181885426112,6.278727578504892,6.161293515299345,6.364695116153104,6.125419507638088,6.44425711240334,6.250860243248208,6.158288560328904,6.334515408195595,6.156807930857636,6.3357043984775006,6.100222762579331,5.959983267389266,6.221697986230934,5.973220927396732,6.217440051635254,5.763285175974024,5.642583046985832,5.896137676972661,5.658156371200256,5.876887469093396
0.001838625,0.001247,0.002438,800,6.409523473348125,6.30545681631808,6.488955320450336,6.291920656989819,6.497833557052972,6.084132639110179,5.976052582900744,6.188406334207548,5.964487915255344,6.154393944322724,6.067766738376253,5.977535706007852,6.15325260990193,5.970648878255195,6.1359599558233455,5.805869867440632,5.655119263077059,5.993321730810283,5.670117135965275,5.989370756574837,6.121255634701059,5.987340912620816,6.2132004365631675,5.981095783890309,6.231100545911546,6.2233532035439305,6.100349782705342,6.320537663337776,6.090115116037112,6.361072652428334,6.189807788310333,6.096993609595628,6.310214593023304,6.119895617106872,6.246657327923142,6.141324607078067,6.022255224723907,6.287932296330941,6.005552246313949,6.225379187983239,5.782065684848636,5.665689479334394,5.887835079942469,5.675274734103235,5.915163408070711
0.002212,0.00162575,0.0027605,800,6.435106740536452,6.344733116042468,6.497678794366215,6.311400756376488,6.535821100232156,6.1090412100673745,6.004757139011971,6.252609762121628,5.967699878620308,6.189792488465001,5.96630290112965,5.867313898632124,6.052656816812188,5.846911622853555,6.066060178948932,5.8636287907671285,5.709025938774991,6.0016699297620395,5.758753686957273,5.959090898366328,6.186475950776249,6.092421555093302,6.262523707504077,6.121386727863833,6.257777945504898,6.168178007137244,6.074971459534964,6.266360326270133,6.070106449077436,6.284669996621297,6.08320841318773,5.980864738999901,6.190637505932915,6.004329286918141,6.163103968002034,6.156876168442418,6.024611340392189,6.262664559574346,6.019118022882462,6.303316108301101,5.839591093254478,5.72357673944228,5.9375655537677545,5.734110540786528,5.972173783728665
0.002570125,0.001997,0.0030855,800,6.51395012309325,6.415445133518851,6.599014912386803,6.416345386126113,6.61179305354128,6.129242172657539,6.015252728022693,6.2654962901503035,5.993059613131386,6.247589438574477,5.955254607635062,5.85371956322193,6.075797264030433,5.845904536456141,6.066499661661637,5.83588641344363,5.709580029286776,5.951281899150593,5.681618517851427,5.976328825271165,6.1248221236389915,6.038249149414806,6.203218418607648,6.05379247658202,6.2146584918357,6.144880592367282,6.028986531936509,6.25844800244106,6.071281023606605,6.22301734031438,6.101077109039351,6.002891331919676,6.177556922275557,6.006168193487356,6.193204516373408,6.1811544991249034,6.061330792470029,6.281067362930271,6.094948753383552,6.27432394656535,5.807236311289868,5.709134177721841,5.916119874044142,5.726027649767398,5.916454557783837
0.002887,0.00236475,0.0034165,800,6.546176459977507,6.452264860528661,6.621780155843431,6.4766272590922735,6.597808511148843,6.158574257021683,6.049735274205034,6.254530924214096,6.054220571920264,6.239248865945074,5.985573712594611,5.864598357528353,6.079483351820818,5.87066975432373,6.100283620368461,5.778236127214639,5.642676711372846,5.925282965291364,5.53629708437335,5.9767663748843125,6.146945207239176,6.048811236340918,6.226025152544432,6.032525763429542,6.223307492366505,6.2119535074252195,6.119558896702934,6.285603238802635,6.146884092560425,6.270253803685728,6.144047090990881,6.045861778714061,6.230971209720588,6.032674402669531,6.256534629489387,6.163909539920246,6.062620118685461,6.25980730652854,6.08195050726175,6.231062646453708,5.769903350707085,5.627394274696684,5.935611729432253,5.6439105852066325,5.9197984029185635
0.0032156249999999997,0.00270225,0.003801,800,6.608754558670624,6.515228047488071,6.686553385414242,6.499941884958734,6.680113353482982,6.1280182186374255,6.016917348347581,6.227177532888068,5.964338588644504,6.2425779434795325,6.035040841028766,5.9168827529508325,6.145603918161675,5.908843193667815,6.148384993227312,5.6681620333760305,5.520740680427443,5.855103364908843,5.4645647542895075,5.811435494536612,6.157428210223729,6.053738809612388,6.2487170184728855,6.020285793969306,6.244551314930257,6.264524054427327,6.166548040103261,6.352847545121282,6.160776694084242,6.330255516462523,6.19151177522827,6.09384996423022,6.275347957503181,6.100981276349604,6.263265330395471,6.179226319176993,6.048466023591172,6.288844508378605,6.104717971606611,6.261583436212748,5.757361407559483,5.639326941035393,5.885069757960184,5.611858440598516,5.941085027558736
0.003591,0.003017,0.00416725,800,6.588304847125026,6.4992808584033845,6.642217718726075,6.523404043361579,6.66275123958742,6.20057144804561,6.093403699660776,6.309006058266153,6.046526963021258,6.29592320125966,6.036363637790445,5.937179711236366,6.144811071847334,5.925866888228779,6.137609683083097,5.679335642102192,5.544229357936075,5.8257062713297225,5.530368087411313,5.789490651929704,6.107481447322901,6.021355775626116,6.195796250063752,6.032429701535726,6.172017416044852,6.200152617601822,6.106392957813714,6.29534987526453,6.061075788179869,6.296153717855194,6.20307780959408,6.120378968440189,6.293697400259859,6.150730599019643,6.300953645685829,6.248371767132114,6.160612262405589,6.334598776269147,6.170048488920141,6.336489560700516,5.674622600236635,5.541038880254713,5.803435810383404,5.529377353319579,5.819433677432555
0.003954875,0.0033475,0.0045265,800,6.653441498331618,6.5463888291761885,6.723432113466946,6.545921155436676,6.760957852227548,6.142627330671867,6.025828744841559,6.270171299990372,6.0162253233228595,6.30399723660308,6.051158046400232,5.949563368609328,6.163239457665459,5.943152459585072,6.165625927664154,5.625367940515489,5.480001832133839,5.752106443045788,5.472907339477795,5.791213236860508,6.066660523666171,5.976699127741415,6.144386262518212,5.981135824295753,6.1404446591442134,6.1766095435603665,6.082111786142443,6.275814885808604,6.060173348598173,6.269203353921861,6.210047678745268,6.112778660604693,6.307058793917164,6.101247500806802,6.335238725181655,6.25230056881411,6.176336668333534,6.3626184790177325,6.190834737952483,6.318029518434879,5.685437488397678,5.548134334085663,5.7811975158631235,5.527173279335935,5.812735888945195
