name,lat,lon,quintile,subregion,country_iso,density_wsf,density,lacunarity_mean,lacunarity_slope,r_crit,mfa_alpha_width,W_trans,gamma,Delta_D,S_alpha
locv2_12306842,-9.3917,-171.2417,Q1,Australia and New Zealand,NZL,0.007255,0.00289725,92.6882634552208,0.7114769521115603,71.67171717171716,1.9813337326771876,45.70363247863246,0.01914402579440981,-0.06195127310160342,0.31815131716932116
locv2_5390429,-24.9083,113.6417,Q1,Australia and New Zealand,AUS,0.006128,0.00164025,197.5733877067068,0.7587170134453606,152.43939393939394,1.562171253217285,94.49818181818179,0.012381190595297645,0.10519281649119883,0.43213650451375607
locv2_12315385,-9.375,-171.2583,Q1,Australia and New Zealand,NZL,0.005694,0.002922,87.33264701749329,0.8292376620841989,71.67171717171716,1.9243167668733627,192.1732255892256,0.008843707568069748,-0.13823036994891047,0.32880668308471855
locv2_4264500,-28.0417,114.1583,Q1,Australia and New Zealand,AUS,0.006128,0.0011195,192.10963128856253,0.9315695042311046,71.67171717171716,1.8182834157116847,1243.1986482471775,0.009225200835711973,0.05085596883838939,0.24604607444342375
locv2_12742510,-8.5417,-172.5083,Q1,Australia and New Zealand,NZL,0.005926,0.00422525,69.64760534308316,0.6480904712520011,71.67171717171716,1.9055032763979003,1938.4242424242425,0.013905029437795821,0.09951110841829225,0.3170956213175087
locv2_5402693,-24.875,113.6417,Q1,Australia and New Zealand,AUS,0.007631,0.010655,31.575652247706472,0.5310091516766653,112.05555555555554,1.7848221466372558,1913.9185950413223,0.012977076773680958,0.09366476385837186,0.3497343765822508
locv2_5396565,-24.8917,113.7083,Q1,Australia and New Zealand,AUS,0.005001,0.0014095,217.12181918587368,1.0552583039166974,192.82323232323233,1.8368389313579765,1929.3378787878787,0.00651641610278824,0.013077728476549755,0.3249497898127245
locv2_5414962,-24.8417,113.725,Q1,Australia and New Zealand,AUS,0.006301,0.00494075,62.383072709460855,0.9024886395677256,879.3484848484848,1.6689845183144238,892.4828282828283,0.007910205102551283,-0.02292577171398924,0.3925810174612692
locv2_5414963,-24.8417,113.7417,Q1,Australia and New Zealand,AUS,0.0074,0.00887625,31.681766254330167,0.8163916176037725,536.0858585858585,1.6142972491209209,1735.4954545454545,0.004823840491674407,0.07442122031206244,0.4907188008535179
locv2_6475781,-22.2417,114.075,Q1,Australia and New Zealand,AUS,0.005608,0.00680175,52.822104978249136,0.8161262136077935,313.97474747474746,1.868537930900347,1105.5075757575758,0.005852926463231616,0.06357811183528894,0.3042003318870882
locv2_2311757,-34.7417,173.0417,Q1,Australia and New Zealand,NZL,0.005232,0.00222575,103.96518864570436,1.0590220485426232,758.1969696969696,1.586997648825505,621.911111111111,0.005462289968513675,-0.013214353200682094,0.5227324077009206
locv2_2474891,-33.9917,115.0083,Q1,Australia and New Zealand,AUS,0.007619,0.01089275,28.612364324225723,0.5792572109246839,112.05555555555554,1.7443103297972489,1663.5128651595317,0.006656554083493361,0.1130135359643647,0.4845372511066683
locv2_10731580,-12.7417,130.3583,Q1,Australia and New Zealand,AUS,0.007429,0.003275,69.72734591389626,0.9429277578713108,334.16666666666663,1.7424328739980477,1775.6773737373737,0.005416770885442727,0.10046667858825287,0.2844023793605543
locv2_2479823,-33.975,115.0083,Q1,Australia and New Zealand,AUS,0.006822,0.00894075,28.61694392020364,0.8529054290701806,495.70202020202015,1.6659715160969275,503.8424693362193,0.006430010585403206,0.06264393681584957,1.220017061803215
locv2_5421096,-24.825,113.7583,Q1,Australia and New Zealand,AUS,0.005434,0.00756825,41.1426881059189,0.8290752903861893,616.8535353535353,1.7013067324513416,626.9590909090908,0.0072536268134066936,0.06328959433814751,0.3624631659504173
locv2_4372673,-27.7417,140.7417,Q1,Australia and New Zealand,AUS,0.007602,0.00243125,115.98215927766324,0.9865924100214,213.0151515151515,1.8187708615375264,360.3416245791245,0.007376028439751795,-0.043988992723044795,0.3354209236703446
locv2_5421097,-24.825,113.775,Q1,Australia and New Zealand,AUS,0.006301,0.00742675,41.40308660964346,0.8227422830256415,1081.2676767676767,1.7988268771514733,937.8798328108671,0.0070402848483064745,0.023085509939182236,0.31035636004536205
locv2_4221227,-28.175,114.275,Q1,Australia and New Zealand,AUS,0.005839,0.00061725,434.6599778615038,1.1199412433699634,879.3484848484848,1.701596170574872,883.3964646464646,0.014857428714357196,-0.02780343338197877,0.3636937393744627
locv2_6525468,-22.125,114.0917,Q1,Australia and New Zealand,AUS,0.005203,0.00130925,212.2251392538521,1.0266654768259065,576.4696969696969,1.7990725404392736,534.5810606060605,0.00761919421249087,0.06301625473341921,0.3166808959552389
locv2_805981,-46.125,167.675,Q1,Australia and New Zealand,NZL,0.006359,0.01253575,19.443846299684605,0.6836528500776018,213.0151515151515,1.873547288498908,440.9180899908172,0.009409704852426218,-0.1329689678921533,0.4893746688646132
locv2_7344168,-20.375,118.825,Q1,Australia and New Zealand,AUS,0.005434,0.0004715,551.6961820309797,1.220262819844948,152.43939393939394,1.6243376213023528,1999.0,0.005502751375687844,0.03497050689082637,0.4257884982040195
locv2_4376973,-27.725,114.175,Q1,Australia and New Zealand,AUS,0.005319,0.00281125,104.23241794600273,0.7796263390949204,213.0151515151515,1.717064509590157,1915.2035353535352,0.004197013761117849,0.05089177872306916,0.4352464375848686
locv2_2484513,-33.9583,115.0083,Q1,Australia and New Zealand,AUS,0.007313,0.01086025,25.151810118249113,0.767845724097346,253.3989898989899,1.662296076670657,1858.3296296296296,0.0029479025226899183,0.051808013655537444,0.8733384434571658
locv2_3947818,-29.025,167.925,Q1,Australia and New Zealand,NFK,0.005376,0.00255875,92.97097179431552,1.0220991525931695,738.0050505050505,1.6148074796853762,618.7813636363635,0.008021616442023838,-0.0612428659053601,0.6081302608880486
locv2_2039672,-35.9917,137.325,Q1,Australia and New Zealand,AUS,0.005076,0.00015225,1413.7592664642737,1.432026323061795,1747.60101010101,1.823126922457724,1750.6393939393938,0.008254127063531777,-0.047835779277255686,0.2578449984703031
locv2_6560959,-22.0417,114.1083,Q1,Australia and New Zealand,AUS,0.005579,0.00219625,124.16360295982436,1.046996711152054,879.3484848484848,1.9256522647580692,808.3979076479075,0.009369549639684718,-0.030891295315073064,0.2921160149575408
locv2_3617315,-30.0417,145.8083,Q1,Australia and New Zealand,AUS,0.006561,0.00199125,143.025621369977,1.009871986262708,313.97474747474746,1.5782431719784409,412.4199494949495,0.007189078410172825,-0.07983921858173892,0.48717973072182164
locv2_7132768,-20.825,115.3917,Q1,Australia and New Zealand,AUS,0.007313,0.0022585,135.99681396078745,0.7755643820261894,172.6313131313131,1.6275205611933277,310.28249158249156,0.008739663949621867,0.10073294809358768,0.6889015663911106
locv2_2465506,-34.025,115.025,Q1,Australia and New Zealand,AUS,0.005232,0.00423325,59.71466958388389,0.9498245971660396,637.0454545454545,1.6896875967747658,543.9703030303031,0.011255627813906967,-0.02286691469678792,0.44153871505575654
locv2_3942408,-29.0417,167.925,Q1,Australia and New Zealand,NFK,0.007602,0.00388675,62.86467618663123,0.9209469906998812,1424.530303030303,1.650528918386648,1287.5954184704185,0.0063609786544648215,0.07922700936059868,0.5241437367307908
locv2_2489203,-33.9417,115.0083,Q1,Australia and New Zealand,AUS,0.00529,0.0073295,36.380133785476254,0.8049749362815483,253.3989898989899,1.826423293116308,1827.3686868686868,0.007703851925962985,0.07067063154726805,0.38575255440296613
locv2_6475782,-22.2417,114.0917,Q1,Australia and New Zealand,AUS,0.006764,0.005607,59.05022969665139,0.8257388714513725,313.97474747474746,1.5681741805703873,401.96341991341995,0.007942650570568302,0.14300763761004065,0.4984769205495601
locv2_1645278,-38.425,175.7917,Q1,Australia and New Zealand,NZL,0.007833,0.004168,59.264601709699434,0.8657658055925335,132.24747474747474,1.7466729536414478,542.4714413364413,0.008254127063531767,-0.053573065201502734,0.42641091903786466
