i,j,name_i,name_j,lat_i,lon_i,lat_j,lon_j,density_i,density_j,os_dist,dyn_share,dens_share,quintile_i,quintile_j,band,pair_type
3586,664,locv2_34283174,locv2_27875177,31.4083,27.0583,21.5083,-71.525,0.009433,0.00943975,4.071639821603706,0.9950950487429621,4.920816272352513e-09,Q5,Q4,sparse,far
4071,4019,locv2_74174036,locv2_74174037,77.9083,16.725,77.9083,16.7417,0.003249,0.00324975,0.15020012836625102,0.001381192508517517,4.464267708744354e-08,Q2,Q1,sparse,near
4814,1140,locv2_8590999,locv2_34171316,-17.7417,-149.325,31.2417,-105.875,0.04205425,0.0426795,4.525883627524912,0.9952259968275627,3.4171885770623084e-05,Q5,Q5,mid,far
5754,5648,locv2_21194601,locv2_15280950,8.8917,126.3083,-3.5917,114.625,0.039515,0.03982775,0.2529828402024234,0.07111853394394162,0.002736407799462049,Q5,Q4,mid,near
6900,1146,locv2_38664295,locv2_28719618,37.825,-25.525,22.875,-109.9083,0.07686175,0.077829,3.6518685738112704,0.9910222124209259,0.00012560748179252126,Q5,Q5,dense,far
5306,5774,locv2_1197723,locv2_24698136,-41.8583,-73.825,16.1417,94.7583,0.07371175,0.073926,0.2678446013066216,0.49167782854297454,0.0011456294727194285,Q5,Q5,dense,near
