subset,weighted,n,density,lacunarity_mean,lacunarity_slope,r_crit,mfa_alpha_width,W_trans,gamma,Delta_D,S_alpha
all,True,16474,6.3687243938169535,6.851913104115616,8.706622243079245,1.8707520577084567,10.241485781313582,1.9928640883120075,7.941721764408234,12.236339143341667,2.266944141317893
all,False,16474,8.431076899309211,4.934352527344206,8.002624830792193,2.016278233030096,10.306616480444443,2.199385530017391,7.378278171008186,12.795125187927997,2.7363851826108005
low_density_rural,True,12029,8.45426235397978,3.0069751933822246,9.126216351834898,0.8489872425477731,11.73474016090835,0.8671599732384525,8.86847996698108,14.04897207655526,1.4138562850882161
low_density_rural,False,12029,7.855820402635986,3.2580212201784287,8.631786527763662,2.074834151080273,11.325458524818508,2.1159904014983324,7.624660800179176,13.399883033600874,2.3639044982361215
very_low_density_rural,True,4445,5.75680434276965,7.394832606587441,8.767056002795604,1.92205547672652,10.11666150081366,2.4464518735138205,7.681960518758952,11.840442987227746,2.5545528184376876
very_low_density_rural,False,4445,6.060856354206414,7.016973849177038,8.852936755934794,1.7596702444685677,10.14167972842335,2.203979819550509,8.044340056137374,12.049512696745964,2.3425185856044086
