subset,weighted,d_median,n,density,density_lo,density_hi,lacunarity_mean,lacunarity_mean_lo,lacunarity_mean_hi,lacunarity_slope,lacunarity_slope_lo,lacunarity_slope_hi,r_crit,r_crit_lo,r_crit_hi,mfa_alpha_width,mfa_alpha_width_lo,mfa_alpha_width_hi,W_trans,W_trans_lo,W_trans_hi,gamma,gamma_lo,gamma_hi,Delta_D,Delta_D_lo,Delta_D_hi,S_alpha,S_alpha_lo,S_alpha_hi
all,True,0.0008235,800,9.887045077584482,9.249893195969742,10.300641502905934,8.745787630506442,8.07613457110701,9.463017546818977,8.13440886480626,7.525168325354212,8.597201188268986,1.7488621423151125,0.5886479950857499,2.312458113468049,9.590678303435896,9.05434986677779,10.04973025738099,1.88311733621265,0.5770829063179964,2.596166375101569,4.711760177311256,3.986075432446554,6.785258680215421,10.015505777422176,9.256119079859804,10.352608905057584,1.8738673452134778,1.3413594582419985,4.153305009023848
all,True,0.000953875,800,9.951568038619198,9.289167919076185,10.359235189413718,8.324804881197164,7.24567840922461,9.526578284965558,8.002696385228479,7.32890212048845,8.338329561162038,1.4785373420163435,0.2505671659165841,2.1514070391464304,10.1804970080073,9.333444769737675,10.899045600549115,1.9148747359023641,0.22695455233920342,2.5952635580127397,5.012185091252093,4.047267773301674,7.2652658615929235,10.088541528359391,9.166665544090522,10.399659997663125,1.6924232062720805,1.2379330312269379,3.916872628647023
all,True,0.001091,800,9.420082743030767,9.164727731225673,9.73494394164368,9.266826191334939,8.996778187407092,9.571513386762028,8.045941114899263,7.644227172809368,8.41306025849013,1.8095630278566488,0.6914903883917908,2.330361087908045,9.602193416735256,9.215196605589759,10.106394567985854,1.9192891316863885,0.45112038303703544,2.408445354872803,4.651684355772366,3.9437987019983827,6.8851300382709955,9.745574424019274,9.336719785032365,10.114139180110596,1.8888069783363164,1.2046105230088928,2.37968501544625
all,True,0.0012239999999999998,800,9.842714209748314,9.41130184417795,10.254564869922424,9.10379316451732,8.778803879515522,9.443673896076406,8.005206325611953,7.574611923221584,8.363248928465591,1.8966147263913669,0.8829916367453383,2.5296643256231435,9.574458238870285,9.131787567839226,9.993518716490167,2.0079937473927196,0.7463264066442326,2.6587230191653033,4.579588775622331,3.942799893480191,6.515603008773239,9.484956688722844,8.913443706579537,9.873794003684038,1.9728734686623708,1.2176812362606768,2.6490278740694495
all,True,0.0013938750000000001,800,10.015411004756832,9.395339508099767,10.324823110735569,9.081320544013147,8.596198672282492,9.46529557558718,8.126448408392752,7.4374030735652665,8.374814088334817,1.6943468089758682,0.18350461117834202,2.2580847664621073,9.577778076616779,9.046630090710062,10.003488914876497,2.166273234859049,0.2071229518998953,2.789092511579602,4.49331914248528,3.8866733233182096,7.368806878761927,9.719567341571349,9.199856987111632,10.153550742197632,1.7895893036449255,1.2053337426378528,3.623843648173815
all,True,0.0015401249999999998,800,9.779031783639288,8.819797933553751,10.131571989426694,9.305482588100894,8.35481632422446,9.595296866724329,8.183759888355935,7.1475462395992455,8.51905452643186,1.3447427923168835,0.176995176058929,2.207088171317252,9.628842318285988,8.579787858392066,9.900068463446377,1.691981831298594,0.21832191332470852,2.466870855181495,4.912594082901646,3.8126248455801357,7.313932446289488,9.671983085296244,8.524570406625879,9.863761356511466,1.7868363041003106,1.416734199642407,6.2212153286038046
all,True,0.001728125,800,9.671473663509198,9.286521443363233,10.013758991727615,8.811219801145057,8.193551196361893,9.34387969329994,8.40133444624874,8.06593550911234,8.630674187874654,2.0653465279223857,1.1243155672966878,2.7938952419505156,9.579552268644624,9.089256921800946,10.153818295453467,2.332357230535616,1.151375005813428,3.061589926347707,4.336599787274561,3.8082463261666883,6.138233947428303,9.382646606215255,8.87196048679651,9.779149686813513,2.0567567018533204,1.4167989475459914,2.723347065334936
all,True,0.001895625,800,9.821373377195679,9.447951842032232,10.124867882367067,8.952692980973756,8.427316989485037,9.425720511750773,8.556079057077879,7.98521404082092,8.828359068154455,1.941420879120553,0.7715482628220389,2.6794563408948617,9.615578831796945,9.15795425865286,9.986288717249636,2.0790248435367347,0.7438928871839602,2.7699542994248234,4.33100284096967,3.7485349910896035,6.814509337269352,9.381124958662495,8.819339156848075,9.764308029220894,2.033101008651668,1.3139148622689405,2.7296204422623567
all,True,0.0020681249999999997,800,9.503792056188631,8.88714187528702,9.851071722265372,8.902622971461584,8.315545810779415,9.58712538881927,8.482798036971175,8.063178431550885,8.724377891294354,2.2166340398259368,0.9242580798475811,2.9066359806772692,9.679046875911087,8.989000111736665,10.132196101606096,2.5089254487829464,0.8805520809412193,3.1416418837514692,4.152879808308186,3.746747295895217,6.659300180763685,9.349253289971532,8.7356969320522,9.822454542174352,2.3707134994317944,1.2566567744567942,3.148383434098793
all,True,0.0022623749999999996,800,9.994536348097608,9.304961174399455,10.216380215480365,8.834305887031507,7.962036937369117,9.560110916576562,7.727959028569662,6.760650687372374,8.35298181081842,1.0253338197180863,0.19905788201979818,1.5755680439905515,10.032735499538614,9.18120899750218,10.399894660856663,0.9611929750550228,0.11702793351977876,1.4656426948406702,6.595074947223638,5.542740253488965,7.821341959771457,10.016939229487903,8.8916590459798,10.21178057621517,1.3530576462683568,1.1439880902542903,6.285654485551377
all,True,0.002482375,800,9.943465126132708,9.093950252477645,10.322247895297552,9.231335136310905,8.57242147344775,9.53918143780939,7.641303525901807,7.204113447082971,8.257272293295351,1.011237148520148,0.20155388546915215,1.5065750316769202,9.742103366964006,8.842873638512616,10.22611531401806,0.8996439671177883,0.14386207194860517,1.4284864390538432,6.509634357860428,5.424215640644354,7.771397462492166,9.935183544946415,9.056454140720215,10.18544487441289,1.328100121970922,1.0959271534871524,4.933186955794738
all,True,0.002669,800,10.195086356931835,8.84026671257291,10.591642843209526,9.07815541501176,8.152893505321275,9.352119466184254,7.347797280309337,6.581727561013309,8.0352415738302,0.39300033496339004,0.20658640072988677,0.6682390522386423,10.158107323512725,8.61005205436758,10.671187820443038,0.2900253131134394,0.15719586843945416,0.4436257215791931,7.122536264025266,6.55429354539536,7.660674277265646,10.184468964430232,8.844206566806818,10.56156645337985,1.5290597842368578,1.1508486551866708,5.647423767468329
all,True,0.0028685,800,9.897213286376392,8.887433528904559,10.153212137885323,9.100591960920406,8.079742064523657,9.584817587429207,7.812524837626205,7.014697824964586,8.079865772961263,0.40167946082810024,0.1999771783158486,0.8311021202334303,9.793772051367267,8.696863045211462,10.209652287552732,0.28333292274796784,0.12059731617745524,0.5730458534382535,7.420736481050161,6.692517142287096,7.612884601648229,9.828256123688975,8.742637636136445,10.119023866101063,1.446127720296333,1.0110882004385808,5.767990331301555
all,True,0.003105625,800,9.795920967610158,6.797072310317782,10.1378630921013,9.154553309793355,6.244735884259724,9.601158822082224,7.836246979728554,5.505604879190873,8.021363052881771,0.35266954843857645,0.17501658346767943,6.122641320567384,9.627601227683197,6.381856172949015,10.021467820962021,0.28025760581140413,0.12485340219966795,5.836038915778369,7.538598400576969,5.505604879190873,7.667946811687955,9.657111989566674,6.3560443723948294,9.996439829881473,1.6167221590214154,1.0133675264862534,6.354663024505751
all,True,0.0033115,800,9.98840967891508,9.228587624760639,10.195047340252845,9.073371283464168,8.178826371235067,9.403979058816168,8.549143682914499,7.3721891967454285,8.828495399014265,1.5608386507854077,0.1729886194873002,2.4555893660763037,9.479767398771179,8.482418468497789,9.895762784929303,1.5634481984975628,0.17205647704446178,2.457494842368735,4.730835749485964,3.6199141722116592,7.722228554194442,9.809992822237003,8.923037673109476,9.98739899058971,1.630356330952809,1.5706211189350685,4.7186212678595485
all,True,0.003563625,800,9.993763071038527,9.244934501576791,10.249427191828891,8.977451706999954,8.310702984945625,9.187380460865636,8.30461705239059,7.563642962416782,8.497736793756072,1.5790839405052122,0.20617200540815353,2.666493176660361,9.474307965779397,8.742394939176195,9.820769714177093,1.5796219439427015,0.2815205003556022,2.666933127406949,4.830973720552929,3.7053008965259604,7.617796342309911,9.941887012016824,8.953062128583447,10.151944338951195,1.6515223972399486,1.502260713358366,4.029015829156037
all,True,0.0038183749999999997,800,10.389644210484942,9.726693777356203,10.700567372588509,8.967298350868093,8.194180486924948,9.3440526217148,8.404874201860759,7.6229531060566815,8.62210186490087,1.6061452665356266,0.19519481026138982,2.4683830762808805,9.381902739678935,8.782406403371317,9.797581824534985,1.6049300995930702,0.16280213958502235,2.468430411482292,4.535694298567106,3.594725652171503,7.769185735873836,10.21951937944757,9.406476764480093,10.475808498940854,1.660452886182003,1.2275548587589926,3.397386864414122
all,True,0.00408125,800,9.976597361436841,8.035166202795674,10.47840378860642,8.767590720906869,6.987968089964432,9.435637602852145,7.666653307409299,6.175415790115755,7.945827699039184,0.3458928756464071,0.15263333638159404,3.584501952001066,9.040485521351076,7.134831059388819,9.601792619569444,0.17895937736298062,0.10334592719474557,3.4092001967356658,7.4734222308998515,6.165857174091207,7.72972373144538,10.164086040609966,7.832487669055416,10.704438011987909,2.4207828730453693,1.4543162705428097,5.813412570662247
all,True,0.004309,800,10.382831031572536,9.862341535282203,10.789937881275334,8.607973703853773,7.679702108807417,9.340606253241688,7.730522370385155,7.305422376666069,8.023511354535449,0.2936235812215838,0.2000739596024021,0.5743826789754358,9.58270561644429,8.972547189613316,10.057980727861489,0.4447777290756536,0.16511620197649873,0.7141595285527693,7.366349689586464,6.99127328230893,7.601618115748113,10.774832365437167,10.164368855699882,11.142044111851556,1.566173709046213,1.086534171540423,3.5441834900837965
all,True,0.004605875,800,10.239918061435453,9.7544434368159,10.608779705780389,9.468760041312759,8.809108603185525,9.99958249069172,7.710265543573754,7.182111458876104,8.005400062420978,0.3479491984286311,0.20112104526080773,0.5145318674656811,9.29222772082453,8.563748630237804,9.789900507707236,0.500261909194114,0.19902449386975607,0.7511093722820751,7.280540683032818,6.778174884222648,7.641327686442767,10.23527804870814,9.646628129225181,10.571539640202532,1.4884156940431272,1.1491092879249725,3.682979706039313
all,True,0.00485475,800,10.10636926109254,9.545387835194925,10.492196294031434,9.733852039091031,9.264132956770437,10.04623261589974,8.04066693458625,7.542635123409109,8.445188291781333,1.3915823926402549,0.36098406810769373,2.121883233056406,9.43765926921196,8.88367348219354,9.962625102824134,1.4166496604897199,0.4572269804281699,2.122435539480718,5.2285938193411035,4.229677898800535,7.276430726669559,9.953698919712014,9.483239862196152,10.232207628110475,1.4489553819683145,1.1294056156890944,2.1444559991281955
all,True,0.005134125,800,9.944922516701988,9.600017602160147,10.229835733066205,9.563919084552253,9.240797325916542,9.918370646410684,8.053217793405599,7.632295684409646,8.38509625293239,1.4938578725096756,0.4587334675282926,2.2385707151932004,9.328092233543094,8.993710706313081,9.625602142334225,1.475212783111561,0.5142930345036046,2.2186683507500256,5.105377651611864,3.8953337674425845,7.353345180904741,9.935395142808336,9.373797394219679,10.293758984187805,1.5226781695705445,0.9103701176537083,2.2506620257157084
all,True,0.005469375,800,9.840429532808919,9.251802954492636,10.326905208140545,9.280346373479015,8.744828404728144,9.601508381132057,8.247645625596146,7.809631459910012,8.589230625437919,1.5114278565744201,0.35726842581107565,2.500366446463254,9.209839624172083,8.702587109402884,9.72097511098398,1.4941524521893177,0.4457652006375662,2.4777298584653953,5.063094703207499,3.7898524643529043,7.590569394750064,10.14937431541573,9.456547042688925,10.462705115307104,1.5343823890114046,0.9121448897222655,2.5092542039010786
all,True,0.00581275,800,10.106046941709721,9.664709418259912,10.388952987699787,9.140070213141335,8.701875626526347,9.402502920764821,8.163740019049495,7.8664659884176,8.440249223952062,0.597723060506534,0.33276561617913525,0.8442625199007389,9.383294540030676,8.954012719975594,9.803526814683686,0.686997215344831,0.2841793291398199,0.9380339722971844,7.196683675347322,6.534228003861985,7.79216702785151,9.951495134711404,9.541987009090214,10.293013070699967,1.000604996748773,0.8269201308388968,2.030277284481988
all,True,0.0061375,800,9.755598549503166,8.539348817785623,10.167493448846129,9.348291383578015,8.31903400025298,9.573087318434549,8.055613192202388,7.163745169238943,8.274050824397733,0.5539784638863753,0.3439555372165257,0.8414607379222054,9.502148945876908,8.511304627485604,9.807548706689783,0.6058560715942546,0.21671748212180098,0.9047848050734598,7.416626992398917,6.6507232853801685,7.861533045054956,9.833397213806576,8.507351200369483,10.163430346262507,0.978262463522758,0.830868108792785,6.424856241607159
all,True,0.00645375,800,10.00304032857059,9.466133445655053,10.32376663870119,9.316220718170968,8.896298682284023,9.66771354814202,8.09353707745499,7.684526347411467,8.331217893427604,0.489610195020215,0.24513824774226964,0.7093422534135969,9.426555683121693,9.00004190044789,9.794911588423492,0.5458845310139511,0.25240020781924594,0.7940335888079547,7.478437050638075,6.8568298490450035,7.801555331672899,9.589438048752244,9.067587899892091,9.903168345426508,1.3026873039216582,1.0736425591722085,2.841624102038128
all,True,0.0068070000000000006,800,9.877654239244695,9.328149767739806,10.204434000411489,9.22157606420793,8.789828329938258,9.665059031917416,8.026268277860444,7.635493037331216,8.26880142545241,0.49011575226719317,0.26627165779590184,0.6847063682830227,9.31995957168268,8.848446814959791,9.579771949204337,0.33709765128352653,0.22099282303485018,0.5504775568810424,7.581668165809072,7.1230961920809275,7.860186316120891,9.851526033115183,9.394330246978924,10.208517689649646,1.5275368792282389,1.1746557845969896,2.72016014276635
all,True,0.007176874999999999,800,9.995906358787385,9.645228553246211,10.251121577537411,9.25073063645313,8.963994364526869,9.71780253601241,8.184263289828753,7.8980284038825666,8.425315390205812,0.699545906539729,0.43801578766351856,0.9383526966652573,9.378845806640431,9.060771790081278,9.576299186168123,0.6179857347099204,0.33357869010741603,0.8262824162649168,7.283513630076836,6.570327483984099,7.789127008529814,9.870902571892378,9.399451485398925,10.162369086787495,1.211894961866249,1.0137198699875234,1.7763986231557036
